sourceWidth,sinkWidth,ratio,advectionWeight,diffusionWeight,inputName,stateHash,w0,coherenceLength,coherenceLengthSigma,bandCellsX4,segmentCountX4,meanSegmentWidthX4,bandCellsX8,segmentCountX8,meanSegmentWidthX8,bandCellsX12,segmentCountX12,meanSegmentWidthX12,bandCellsX16,segmentCountX16,meanSegmentWidthX16,bandCellsX20,segmentCountX20,meanSegmentWidthX20,bandCellsX24,segmentCountX24,meanSegmentWidthX24,bandCellsX28,segmentCountX28,meanSegmentWidthX28,bandCellsX32,segmentCountX32,meanSegmentWidthX32,bandCellsX36,segmentCountX36,meanSegmentWidthX36,bandCellsX40,segmentCountX40,meanSegmentWidthX40,bandCellsX44,segmentCountX44,meanSegmentWidthX44,bandCellsX48,segmentCountX48,meanSegmentWidthX48,bandCellsX52,segmentCountX52,meanSegmentWidthX52,bandCellsX56,segmentCountX56,meanSegmentWidthX56,bandCellsX60,segmentCountX60,meanSegmentWidthX60,occupiedPeak,totalCompleted,completionRatio,outOfFieldRatio,densityMax,densityMaxCell,densityMaxExSource,maxStagnation,backflowEvents,criterion2PassCount,criterion2,criterion3Median1TwiceBasisPoints,criterion3Median3TwiceBasisPoints,criterion3Median10TwiceBasisPoints,criterion3,criterion4
3,9,4:1,65536,16384,detour,1d590af5,1867776,7,6,56,1,3670016,58,1,3801088,60,1,3932160,61,1,3997696,61,1,3997696,60,2,1966080,61,1,3997696,59,1,3866624,59,1,3866624,59,2,1933312,58,2,1900544,57,1,3735552,56,1,3670016,56,1,3670016,38,3,830122,4045,2122054,57,30,1668,4:31,1276,0,0,5,FAIL,966,622,722,FAIL,FAIL
3,9,16:1,65536,4096,straight,3a024422,196608,63,63,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,0,0,,165,3460632,93,0,1788,49:32,1788,0,0,4,FAIL,1052,488,763,FAIL,FAIL
3,9,16:1,65536,4096,distributed,ac74430c,4063232,63,6,60,2,1966080,62,1,4063232,63,1,4128768,62,1,4063232,62,1,4063232,62,1,4063232,62,1,4063232,62,1,4063232,62,1,4063232,62,1,4063232,62,1,4063232,63,1,4128768,62,1,4063232,62,1,4063232,51,2,1671168,4019,2205563,59,25,1764,57:32,1764,0,0,4,FAIL,1052,488,763,FAIL,FAIL
3,9,16:1,65536,4096,detour,39f425d5,4194304,63,6,62,1,4063232,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,63,1,4128768,64,1,4194304,64,1,4194304,64,1,4194304,53,2,1736704,4010,2268507,61,23,1668,4:31,1284,0,0,4,FAIL,1052,488,763,FAIL,FAIL
3,17,4:1,65536,16384,straight,a446110b,196608,63,63,3,1,196608,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,0,0,,278,3459294,93,0,1704,49:32,1704,0,0,5,FAIL,974,471,730,FAIL,FAIL
3,17,4:1,65536,16384,distributed,5c73ee4e,1835008,7,6,50,3,1092266,56,1,3670016,59,1,3866624,61,1,3997696,59,1,3866624,58,1,3801088,57,2,1867776,55,2,1802240,53,2,1736704,52,3,1135957,53,2,1736704,52,2,1703936,54,1,3538944,49,3,1070421,12,3,262144,4001,2160709,58,29,1724,57:32,1724,0,0,5,FAIL,974,471,730,FAIL,FAIL
3,17,4:1,65536,16384,detour,013af679,3735552,63,6,56,1,3670016,59,1,3866624,60,1,3932160,59,1,3866624,61,1,3997696,60,1,3932160,59,1,3866624,59,1,3866624,58,1,3801088,57,1,3735552,59,1,3866624,58,1,3801088,57,1,3735552,56,1,3670016,25,6,273066,3990,2248468,60,27,1668,4:31,1276,0,0,5,FAIL,974,471,730,FAIL,FAIL
3,17,16:1,65536,4096,straight,3a024422,196608,63,63,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,0,0,,165,3460632,93,0,1788,49:32,1788,0,0,4,FAIL,1097,439,638,FAIL,FAIL
3,17,16:1,65536,4096,distributed,cba5d292,4063232,63,6,61,2,1998848,62,1,4063232,62,1,4063232,63,1,4128768,63,1,4128768,62,1,4063232,62,1,4063232,62,1,4063232,62,1,4063232,62,1,4063232,62,1,4063232,62,1,4063232,62,1,4063232,62,1,4063232,42,2,1376256,3974,2292346,62,23,1755,57:32,1755,0,0,4,FAIL,1097,439,638,FAIL,FAIL
3,17,16:1,65536,4096,detour,812b2ba3,4194304,63,6,63,1,4128768,64,1,4194304,63,1,4128768,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,62,1,4063232,64,1,4194304,64,1,4194304,64,1,4194304,42,2,1376256,3957,2417987,65,19,1668,4:31,1284,0,0,4,FAIL,1097,439,638,FAIL,FAIL
9,1,4:1,65536,16384,straight,deca574a,4063232,63,6,60,1,3932160,62,1,4063232,63,1,4128768,63,1,4128768,62,1,4063232,62,1,4063232,63,1,4128768,60,1,3932160,62,1,4063232,61,1,3997696,61,1,3997696,60,1,3932160,62,1,4063232,61,1,3997696,58,1,3801088,4060,526096,14,77,778,61:31,778,0,0,3,FAIL,1656,1667,2775,FAIL,FAIL
9,1,4:1,65536,16384,distributed,ab9b7ec2,4128768,63,6,62,1,4063232,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,63,1,4128768,62,1,4063232,61,1,3997696,63,1,4128768,62,1,4063232,62,1,4063232,60,1,3932160,60,1,3932160,4073,480314,13,77,824,4:36,732,0,0,3,FAIL,1656,1667,2775,FAIL,FAIL
9,1,4:1,65536,16384,detour,ca52f07e,4194304,63,6,62,1,4063232,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,63,1,4128768,64,1,4194304,62,1,4063232,63,1,4128768,60,1,3932160,61,1,3997696,4077,440604,11,78,760,4:29,665,0,0,3,FAIL,1656,1667,2775,FAIL,FAIL
9,1,16:1,65536,4096,straight,ffb09bda,4194304,63,6,61,1,3997696,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,63,1,4128768,61,1,3997696,57,1,3735552,56,1,3670016,54,1,3538944,48,1,3145728,42,1,2752512,3783,532781,14,74,788,61:31,788,0,0,3,FAIL,1571,1422,2280,FAIL,FAIL
9,1,16:1,65536,4096,distributed,7c03ae75,4194304,63,6,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,61,1,3997696,4063,500737,13,73,825,4:36,760,0,0,3,FAIL,1571,1422,2280,FAIL,FAIL
9,1,16:1,65536,4096,detour,0b525019,4194304,63,6,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,60,1,3932160,4054,463561,12,74,769,4:29,704,0,0,3,FAIL,1571,1422,2280,FAIL,FAIL
9,3,4:1,65536,16384,straight,d9c4f487,3997696,63,6,60,1,3932160,61,1,3997696,62,1,4063232,62,1,4063232,62,1,4063232,62,1,4063232,61,1,3997696,61,1,3997696,61,1,3997696,60,1,3932160,60,1,3932160,62,1,4063232,62,1,4063232,60,1,3932160,55,1,3604480,4039,1745174,47,45,756,58:31,756,0,0,0,FAIL,2516,1321,1158,FAIL,FAIL
